"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","152.195.38.76","10.87.1.105","TCP","60","80  >  61982 [FIN, ACK] Seq=1 Ack=1 Win=131 Len=0"
"2","0.000123","10.87.1.105","152.195.38.76","TCP","54","61982  >  80 [ACK] Seq=1 Ack=2 Win=256 Len=0"
"3","0.025623","10.87.1.105","192.168.1.106","TCP","66","62076  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"4","0.027179","10.87.1.105","192.168.68.74","TCP","66","62077  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.028677","10.87.1.105","192.168.100.21","TCP","66","62078  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.830509","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.1.106? Tell 10.87.0.2"
"7","0.932955","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"8","1.037433","10.87.1.105","192.168.68.74","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62077  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"9","1.037503","10.87.1.105","192.168.1.106","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62076  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"10","1.037510","10.87.1.105","192.168.100.21","TCP","66","[TCP Retransmission] [TCP Port numbers reused] 62078  >  7680 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"11","1.908127","10.87.1.105","142.250.192.36","QUIC","1292","Initial, DCID=5582ef7bd427cebb, PKN: 1, PADDING, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO"
"12","1.944238","142.250.192.36","10.87.1.105","QUIC","1292","Initial, SCID=d582ef7bd427cebb, PKN: 1, ACK, CRYPTO, PADDING"
"13","1.951298","10.87.1.105","142.250.192.36","QUIC","1292","Initial, DCID=d582ef7bd427cebb, PKN: 2, ACK, PADDING"
"14","1.956981","Routerbo_eb:74:e4","Broadcast","ARP","60","Who has 10.87.3.16? Tell 10.87.0.2"
"15","1.967736","10.87.1.105","142.250.192.36","TCP","66","62079  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"16","2.001980","142.250.192.36","10.87.1.105","TCP","66","443  >  62079 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"17","2.002089","10.87.1.105","142.250.192.36","TCP","54","62079  >  443 [ACK] Seq=1 Ack=1 Win=66304 Len=0"
"18","2.002563","10.87.1.105","142.250.192.36","TLSv1.3","571","Client Hello"
"19","2.003744","142.250.192.36","10.87.1.105","QUIC","1292","Handshake, SCID=d582ef7bd427cebb"
"20","2.003744","142.250.192.36","10.87.1.105","QUIC","1292","Handshake, SCID=d582ef7bd427cebb"
"21","2.003744","142.250.192.36","10.87.1.105","QUIC","1292","Handshake, SCID=d582ef7bd427cebb"
"22","2.003744","142.250.192.36","10.87.1.105","QUIC","869","Protected Payload (KP0)"
"23","2.004089","10.87.1.105","142.250.192.36","QUIC","81","Handshake, DCID=d582ef7bd427cebb"
"24","2.004471","10.87.1.105","142.250.192.36","QUIC","81","Handshake, DCID=d582ef7bd427cebb"
"25","2.006624","10.87.1.105","142.250.192.36","QUIC","125","Handshake, DCID=d582ef7bd427cebb"
"26","2.006997","10.87.1.105","142.250.192.36","QUIC","114","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"27","2.007730","10.87.1.105","142.250.192.36","QUIC","1288","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"28","2.007814","10.87.1.105","142.250.192.36","QUIC","1274","Protected Payload (KP0), DCID=d582ef7bd427cebb"
"29","2.037634","142.250.192.36","10.87.1.105","TCP","60","443  >  62079 [ACK] Seq=1 Ack=518 Win=66816 Len=0"
"30","2.044107","142.250.192.36","10.87.1.105","QUIC","983","Protected Payload (KP0)"
