"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","8.8.4.4","10.87.1.138","TLSv1.2","183","Application Data, Application Data"
"2","0.571306","13.67.74.235","10.87.1.138","TLSv1.2","354","Application Data"
"3","0.573556","10.87.1.138","13.67.74.235","TLSv1.2","96","Application Data"
"4","0.582697","10.87.1.138","13.67.74.235","TLSv1.2","220","Application Data"
"5","0.584683","10.87.1.138","52.113.194.132","TCP","54","64798  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0"
"6","0.594073","13.67.74.235","10.87.1.138","TCP","60","443  >  64797 [ACK] Seq=301 Ack=209 Win=384 Len=0"
"7","5.647659","10.87.1.138","8.8.8.8","DNS","76","Standard query 0x190e A time.windows.com"
"8","5.650986","8.8.8.8","10.87.1.138","DNS","128","Standard query response 0x190e A time.windows.com CNAME twc.trafficmanager.net A 40.81.94.65"
"9","5.652977","10.87.1.138","40.81.94.65","NTP","90","NTP Version 3, client"
"10","5.681961","40.81.94.65","10.87.1.138","NTP","90","NTP Version 3, server"
"11","6.456159","10.87.1.138","52.123.168.24","TCP","55","64792  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"12","8.206494","52.98.123.178","10.87.1.138","TCP","60","443  >  64098 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"13","8.238097","52.98.123.178","10.87.1.138","TCP","60","[TCP Previous segment not captured] 443  >  64098 [ACK] Seq=2 Ack=1 Win=16385 Len=0"
"14","10.196027","10.87.1.138","52.113.194.132","TCP","54","64798  >  443 [RST, ACK] Seq=2 Ack=1 Win=0 Len=0"
"15","11.235495","10.87.1.138","52.205.12.124","TCP","55","64827  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP segment of a reassembled PDU]"
"16","11.238202","52.205.12.124","10.87.1.138","TCP","66","443  >  64827 [ACK] Seq=1 Ack=2 Win=384 Len=0 SLE=1 SRE=2"
"17","15.573064","10.87.1.138","10.87.0.2","DHCP","342","DHCP Release  - Transaction ID 0x66723dc2"
"18","18.684281","20.198.119.143","10.87.1.138","TCP","60","443  >  49485 [ACK] Seq=1 Ack=1 Win=65535 Len=0"
"19","18.716797","0.0.0.0","255.255.255.255","DHCP","344","DHCP Discover - Transaction ID 0x41608fa3"
"20","19.108102","10.87.0.2","10.87.1.138","ICMP","70","Echo (ping) request  id=0xe126, seq=1792/7, ttl=255 (no response found!)"
"21","19.485024","10.87.0.2","255.255.255.255","DHCP","342","DHCP Offer    - Transaction ID 0x41608fa3"
"22","19.486439","0.0.0.0","255.255.255.255","DHCP","370","DHCP Request  - Transaction ID 0x41608fa3"
"23","19.587473","10.87.0.2","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x41608fa3"
"24","19.614564","CloudNet_1a:69:a1","Broadcast","ARP","42","Who has 10.87.0.2? Tell 10.87.1.138"
"25","19.621523","Routerbo_eb:74:e4","CloudNet_1a:69:a1","ARP","60","10.87.0.2 is at 08:55:31:eb:74:e4"
"26","19.621564","10.87.1.138","8.8.8.8","DNS","70","Standard query 0x6eb9 HTTPS dns.google"
"27","19.625520","10.87.1.138","8.8.8.8","DNS","70","Standard query 0x8e74 A dns.google"
"28","19.626020","10.87.1.138","8.8.8.8","DNS","70","Standard query 0xfffc HTTPS dns.google"
"29","19.626666","10.87.1.138","8.8.8.8","DNS","70","Standard query 0xc94d A dns.google"
"30","19.627203","10.87.1.138","8.8.8.8","DNS","70","Standard query 0xc739 HTTPS dns.google"
"31","19.628383","10.87.1.138","8.8.8.8","DNS","70","Standard query 0xef85 A dns.google"
"32","19.628780","10.87.1.138","8.8.8.8","DNS","70","Standard query 0x00d7 HTTPS dns.google"
